id,text,source_url,comment_id,created_at,collection_source,post_text,apify_dataset_id,apify_run_id
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzkwMzIxNTIzMjc5NjM1MQ==,Yanga simuyilawa🥺🥺🥺🥺🥺🥺🥺🥺,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzkwMzIxNTIzMjc5NjM1MQ==,2026-06-29T16:44:12.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzgzMjI5ODA4OTk2MzQyNQ==,JB kom kutukwana et kape ameney,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzgzMjI5ODA4OTk2MzQyNQ==,2026-06-29T16:44:09.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzkwMzgyMjkxNTMwNzQyOA==,Kuli filififite yanga,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzkwMzgyMjkxNTMwNzQyOA==,2026-06-29T16:42:57.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzk4NDI4NTA3MTA4ODUxNA==,Namafanz God bless you 🙏🏾,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzk4NDI4NTA3MTA4ODUxNA==,2026-06-29T16:42:52.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzNDM3Nzc3MzM3NzY1NTk=,Muli pin yanga uku ohoo,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzNDM3Nzc3MzM3NzY1NTk=,2026-06-29T16:48:36.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzNjY1NzU5Mzg3NTk3MjI=,At least mikozi 1 mita,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzNjY1NzU5Mzg3NTk3MjI=,2026-06-29T16:49:48.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMzUwNjkwNTg4Njk5MDc=,"If you believe south Africa 🇿🇦 are going back to protect  their jobs, hit the bottom.",https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMzUwNjkwNTg4Njk5MDc=,2026-06-29T16:50:38.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE3MzE2NzkzMzExNzYyNTI=,Tione Month end,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE3MzE2NzkzMzExNzYyNTI=,2026-06-29T17:08:46.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE3MjE5OTM5ODIyMTIzMDA=,Winayo akufina Kaye SUBOSISO anthu akuvutika iye akutipita kukajambulako video 😂😂 50 billion gang,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE3MjE5OTM5ODIyMTIzMDA=,2026-06-29T17:07:32.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzODg1MzEzNzk3NTQ3MjI=,"Mikozi Stay blessed as well ndaona kuti mwaponya chi 1 mita nanu,pano patiently waiting for the Kingston family Z&D,Gwamba kuti apanga zotani kwa ma fan's awo omwe akuvutika Ku SA",https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzODg1MzEzNzk3NTQ3MjI=,2026-06-29T16:47:15.000Z,apify/facebook-comments-scraper,,,
